year,data_status_cd,deal_type_sort,deal_type_cd,deal_type,new_build_sort,new_build_cd,new_build,area_sort,area_cd,area_name,rooms_sort,rooms_cd,rooms_label,num_transactions,price_per_sqm_chf,median_price_chf,total_price_chf,area_level,rooms_num,has_price_data
2009,D,1,22,Kauf,1,J,Ja,20,2,Kreis 2,5,5,5-Zimmer,9.0,9932.0,1545000.0,15680528.0,district,5,True
2009,D,1,22,Kauf,1,J,Ja,20,2,Kreis 2,6,6,6-Zimmer und mehr,,13711.0,2180000.0,8700000.0,district,6,True
2009,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,1,1,1-Zimmer,0.0,,,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,2,2,2-Zimmer,,12590.0,915000.0,8276614.0,quarter,2,True
2009,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,3,3,3-Zimmer,,11176.0,1140000.0,18534197.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,4,4,4-Zimmer,,10471.0,1445000.0,24417000.0,quarter,4,True
2009,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,5,5,5-Zimmer,5.0,10882.0,1850000.0,9682386.0,quarter,5,True
2009,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,6,6,6-Zimmer und mehr,,15293.0,3260000.0,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,23,23,Leimbach,1,1,1-Zimmer,0.0,,,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,23,23,Leimbach,2,2,2-Zimmer,0.0,,,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,23,23,Leimbach,3,3,3-Zimmer,0.0,,,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,23,23,Leimbach,4,4,4-Zimmer,,6504.0,930000.0,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,23,23,Leimbach,5,5,5-Zimmer,0.0,,,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,23,23,Leimbach,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,24,24,Enge,1,1,1-Zimmer,,12241.0,355000.0,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,24,24,Enge,2,2,2-Zimmer,,6339.0,1160000.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,24,24,Enge,3,3,3-Zimmer,,10230.0,1780000.0,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,24,24,Enge,4,4,4-Zimmer,,9875.0,1185000.0,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,24,24,Enge,5,5,5-Zimmer,4.0,9832.0,1362500.0,5998142.0,quarter,5,True
2009,D,1,22,Kauf,1,J,Ja,24,24,Enge,6,6,6-Zimmer und mehr,,13711.0,2180000.0,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,1,1,1-Zimmer,6.0,8362.0,242500.0,1495171.0,district,1,True
2009,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,2,2,2-Zimmer,6.0,7471.0,459520.0,3084036.0,district,2,True
2009,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,3,3,3-Zimmer,8.0,7572.0,538500.0,5085500.0,district,3,True
2009,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,4,4,4-Zimmer,,5644.0,1125000.0,,district,4,False
2009,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,5,5,5-Zimmer,,6291.0,1316780.0,5648401.0,district,5,True
2009,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,6,6,6-Zimmer und mehr,0.0,,,,district,6,False
2009,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,1,1,1-Zimmer,,145.0,4210.0,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,2,2,2-Zimmer,,5938.0,357500.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,3,3,3-Zimmer,,6095.0,468500.0,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,4,4,4-Zimmer,0.0,,,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,5,5,5-Zimmer,,6000.0,1313560.0,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,33,33,Friesenberg,1,1,1-Zimmer,,8362.0,242500.0,1115964.0,quarter,1,True
2009,D,1,22,Kauf,1,J,Ja,33,33,Friesenberg,2,2,2-Zimmer,,8235.0,469040.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,33,33,Friesenberg,3,3,3-Zimmer,,11645.0,885000.0,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,33,33,Friesenberg,4,4,4-Zimmer,0.0,,,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,33,33,Friesenberg,5,5,5-Zimmer,0.0,,,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,33,33,Friesenberg,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,1,1,1-Zimmer,,9375.0,375000.0,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,2,2,2-Zimmer,,7798.0,850000.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,3,3,3-Zimmer,5.0,8209.0,550000.0,3263500.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,4,4,4-Zimmer,,5644.0,1125000.0,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,5,5,5-Zimmer,,10882.0,1850000.0,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,1,1,1-Zimmer,5.0,5862.0,170000.0,1290000.0,district,1,True
2009,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,2,2,2-Zimmer,,6383.0,300000.0,,district,2,False
2009,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,3,3,3-Zimmer,7.0,5467.0,410000.0,3202000.0,district,3,True
2009,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,4,4,4-Zimmer,,6000.0,480000.0,1579000.0,district,4,True
2009,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,5,5,5-Zimmer,0.0,,,,district,5,False
2009,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,6,6,6-Zimmer und mehr,0.0,,,,district,6,False
2009,D,1,22,Kauf,1,J,Ja,41,41,Werd,1,1,1-Zimmer,0.0,,,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,41,41,Werd,2,2,2-Zimmer,0.0,,,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,41,41,Werd,3,3,3-Zimmer,0.0,,,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,41,41,Werd,4,4,4-Zimmer,0.0,,,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,41,41,Werd,5,5,5-Zimmer,0.0,,,,quarter,5,False
