year,data_status_cd,deal_type_sort,deal_type_cd,deal_type,new_build_sort,new_build_cd,new_build,area_sort,area_cd,area_name,rooms_sort,rooms_cd,rooms_label,num_transactions,price_per_sqm_chf,median_price_chf,total_price_chf,area_level,rooms_num,has_price_data
2009,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,4,4,4-Zimmer,9.0,11917.0,1200000.0,12725000.0,district,4,True
2009,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,1,1,1-Zimmer,3.0,8030.0,240890.0,838250.0,district,1,True
2009,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,2,2,2-Zimmer,5.0,7937.0,460000.0,2210000.0,district,2,True
2009,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,3,3,3-Zimmer,7.0,7836.0,670000.0,4431000.0,district,3,True
2009,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,4,4,4-Zimmer,7.0,6040.0,610000.0,4560000.0,district,4,True
2009,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,5,5,5-Zimmer,6.0,5876.0,607500.0,3587000.0,district,5,True
2009,D,1,22,Kauf,1,J,Ja,91,91,Albisrieden,2,2,2-Zimmer,5.0,7937.0,460000.0,2210000.0,quarter,2,True
2009,D,1,22,Kauf,1,J,Ja,91,91,Albisrieden,5,5,5-Zimmer,6.0,5876.0,607500.0,3587000.0,quarter,5,True
2009,D,1,22,Kauf,1,J,Ja,100,10,Kreis 10,2,2,2-Zimmer,10.0,7500.0,549500.0,5362000.0,district,2,True
2009,D,1,22,Kauf,1,J,Ja,100,10,Kreis 10,3,3,3-Zimmer,21.0,7159.0,647000.0,13962000.0,district,3,True
2009,D,1,22,Kauf,1,J,Ja,100,10,Kreis 10,4,4,4-Zimmer,42.0,7925.0,900000.0,38444700.0,district,4,True
2009,D,1,22,Kauf,1,J,Ja,100,10,Kreis 10,5,5,5-Zimmer,8.0,9461.0,1457000.0,11165000.0,district,5,True
2009,D,1,22,Kauf,1,J,Ja,101,101,Höngg,3,3,3-Zimmer,15.0,7159.0,647000.0,10202000.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,101,101,Höngg,4,4,4-Zimmer,36.0,7714.0,895000.0,32109700.0,quarter,4,True
2009,D,1,22,Kauf,1,J,Ja,102,102,Wipkingen,3,3,3-Zimmer,6.0,7068.0,644570.0,3760000.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,102,102,Wipkingen,4,4,4-Zimmer,6.0,8036.0,982500.0,6335000.0,quarter,4,True
2009,D,1,22,Kauf,1,J,Ja,110,11,Kreis 11,2,2,2-Zimmer,17.0,5893.0,330000.0,6689000.0,district,2,True
2009,D,1,22,Kauf,1,J,Ja,110,11,Kreis 11,3,3,3-Zimmer,36.0,5570.0,565000.0,20384548.0,district,3,True
2009,D,1,22,Kauf,1,J,Ja,110,11,Kreis 11,4,4,4-Zimmer,78.0,5778.0,715000.0,55302242.0,district,4,True
2009,D,1,22,Kauf,1,J,Ja,110,11,Kreis 11,5,5,5-Zimmer,10.0,6395.0,860450.0,8679783.0,district,5,True
2009,D,1,22,Kauf,1,J,Ja,111,111,Affoltern,3,3,3-Zimmer,9.0,5854.0,645000.0,5362000.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,111,111,Affoltern,4,4,4-Zimmer,38.0,5833.0,749000.0,28387021.0,quarter,4,True
2009,D,1,22,Kauf,1,J,Ja,111,111,Affoltern,5,5,5-Zimmer,7.0,6398.0,863480.0,6004783.0,quarter,5,True
2009,D,1,22,Kauf,1,J,Ja,115,115,Oerlikon,2,2,2-Zimmer,9.0,6148.0,400000.0,4035000.0,quarter,2,True
2009,D,1,22,Kauf,1,J,Ja,115,115,Oerlikon,3,3,3-Zimmer,5.0,6330.0,500000.0,2587000.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,115,115,Oerlikon,4,4,4-Zimmer,6.0,7328.0,710000.0,4874000.0,quarter,4,True
2009,D,1,22,Kauf,1,J,Ja,119,119,Seebach,3,3,3-Zimmer,22.0,5438.0,552500.0,12435548.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,119,119,Seebach,4,4,4-Zimmer,34.0,5544.0,622500.0,22041221.0,quarter,4,True
